6580314555	7951353954	67.431122	45.963473	pl-Wo-ku-sK-xk-KB	oK-Jz-lB-DO-mm-xI	27263841	1528118160	vYj	15806062165	LJD			1545448466
9806241825	6069770053	9.738791	11.745617	Tq-rJ-PZ-iC-TX-on	fV-lR-qC-zy-VU-MN	75416242	1517448085	hbZgfb	13002523113	ApzlTCE			1527995476
9997492284	1056818737	9.031622	69.669819	mU-Ck-LD-Yo-qq-wg	uk-aM-Hc-oQ-zb-Ca	25124769	1533700122	TaWNcyUJ	13806197406	hp			1529602953
9229327574	8582795826	81.606606	9.440574	Gw-pS-wl-WE-vz-gi	KA-Ax-Ez-Og-Uh-Bm	09851375	1533537065	DyEdGrwO	13804614163	Liiqvm			1528294893
2321047746	3524457079	57.121076	51.581872	GH-hZ-DU-Xc-Ze-pU	CD-Ob-LA-eH-rH-dX	90494287	1519258338	ltWFs	15601411883	Ct			1521306032
2917131463	2190272318	28.222127	20.259967	ck-XS-sb-iK-ha-Pt	nZ-Rh-xX-wq-vj-YK	14069562	1514942807	iD	15201912426	hFCogK			1526015631
9580558072	7187485186	24.295417	18.317767	oV-Ct-hh-Dg-WC-MN	yA-bF-Fr-EK-al-zj	59315555	1538864761	zRPVi	15701477969	KPg			1521198579
8335638568	9206029601	47.393049	75.612267	fq-hw-qO-mH-EU-yg	ac-mC-jD-EI-RW-br	83751275	1538506243	Ibu	13806062466	LrnJVSK			1528558514
6065623330	9348903785	85.082277	31.712792	uG-Az-bm-GD-xT-Dq	FU-Ek-ws-Zp-XU-zG	17153703	1536688013	SiLhy	13306875480	CVu			1536755528
9699458021	3845849523	41.999739	89.877873	VX-pM-mn-cW-Un-oq	nZ-Dv-Xi-kw-cx-cX	24392983	1532110544	wY	15605770302	NkBIwGg			1544585191
4217289664	7807585069	13.826557	32.150934	fb-pT-fb-tl-YU-rL	SD-Bc-WL-bP-xn-gI	58652980	1527892615	Gf	13106418190	pMVNFwQY			1523340882
